stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,date_donnee
P5044,5044,Maison de Retraite,[MRetrPe] AScen,46.16778,-1.115622,0,A4916,2023-10-20 04:01:38.0
P5045,5045,Parc Aquatique,[PAquaCB] Abri,46.156611,-1.098508,0,A4963,2023-10-20 04:01:38.0
P5046,5046,Parc Aquatique,[PAquaPe] AScln,46.157777,-1.100188,0,A4963,2023-10-20 04:01:38.0
P5047,5047,Passy,[PassyDB] Abri,46.161561,-1.09678,0,A4964,2023-10-20 04:01:38.0
P5048,5048,Passy,[PassyZI] ASpln,46.16148,-1.096202,0,A4964,2023-10-20 04:01:38.0
P5049,5049,Paul Langevin,[PauLaCB] Abri,46.16093,-1.103644,0,A4985,2023-10-20 04:01:38.0
P5050,5050,Paul Langevin,[PauLaPe] AScen,46.160619,-1.103469,0,A4985,2023-10-20 04:01:38.0
P5051,5051,Pommeraie,[PmmerDB] Abri,46.154733,-1.096041,0,A4986,2023-10-20 04:01:38.0
P5052,5052,Pommeraie,[PmmerSR] Abri,46.154661,-1.095794,0,A4986,2023-10-20 04:01:38.0
P5053,5053,Port Louis,[PoLouMr] AScen,46.154447,-1.097069,0,A7287,2023-10-20 04:01:38.0
P5054,5054,Port Louis,[PoLouPe] AScen,46.15443,-1.096855,0,A7287,2023-10-20 04:01:38.0
P5055,5055,Quatre Chevaliers,[4ChevDB] Abri,46.154455,-1.112241,0,A6082,2023-10-20 04:01:38.0
P5056,5056,Quatre Chevaliers,[4ChevZI] AScen,46.155116,-1.110533,0,A6082,2023-10-20 04:01:38.0
P5058,5058,Rue du Poteau,[RPotePe] AScen,46.164944,-1.109747,0,A6942,2023-10-20 04:01:38.0
P5059,5059,Salle Omnisports,[SOmniDB] Abri,46.155461,-1.092591,0,A6080,2023-10-20 04:01:38.0
P5060,5060,Salle Omnisports,[SOmniSR] Abri,46.15538,-1.092552,0,A6080,2023-10-20 04:01:38.0
P5061,5061,Stade de Périgny,[StdPeDB] Abri,46.1554,-1.08383,0,A4988,2023-10-20 04:01:38.0
P5062,5062,Stade de Périgny,[StdPeSR] AScen,46.155266,-1.084177,0,A4988,2023-10-20 04:01:38.0
P5063,5063,Vaucanson,[VaucaDB] Abri,46.164888,-1.102011,0,A7363,2023-10-20 04:01:38.0
P5064,5064,Vaucanson,[VaucaZI] AScen,46.164677,-1.101905,0,A7363,2023-10-20 04:01:38.0
P5065,5065,ZI de Périgny,[ZIPerCB] AScln,46.159247,-1.101813,0,A7364,2023-10-20 04:01:38.0
P5066,5066,ZI de Périgny,[ZIPerPe] AScen,46.158875,-1.101583,0,A7364,2023-10-20 04:01:38.0
P5067,5067,Canal de Rompsay,[CanRoPe] AScen,46.167391,-1.109544,0,A6081,2023-10-20 04:01:38.0
P5068,5068,Canal de Rompsay,[CanRoCB] AScen,46.166513,-1.109108,0,A6081,2023-10-20 04:01:38.0
P5069,5069,La Vaurie,[VauriPe] AScen,46.151552,-1.093911,0,A4979,2023-10-20 04:01:38.0
P5400,5400,Mairie de Saint-Rogatien,[MaiSRDB] Abri,46.150849,-1.073075,0,A3059,2023-10-20 04:01:38.0
P5401,5401,Mairie de Saint-Rogatien,[MaiSRSR] AScen,46.150869,-1.073363,0,A3059,2023-10-20 04:01:38.0
P5402,5402,Néchalier,[NechaDB] Abri,46.149561,-1.06893,0,A5034,2023-10-20 04:01:38.0
P5403,5403,Néchalier,[NechaSR] AScen,46.149469,-1.068675,0,A5034,2023-10-20 04:01:38.0
P5404,5404,P+R Saint-Rogatien,[PRRogDB] Abri,46.148627,-1.062822,0,A5047,2023-10-20 04:01:38.0
P6000,6000,Calvaire,"",46.170076,-1.016366,0,A412,2023-10-20 04:01:38.0
P6001,6001,Centre-Bourg,"",46.167584,-1.024491,0,A411,2023-10-20 04:01:38.0
P6002,6002,Centre-Bourg,"",46.167572,-1.024608,0,A411,2023-10-20 04:01:38.0
P6003,6003,La Gabardelière,"",46.174451,-1.036064,0,A3165,2023-10-20 04:01:38.0
P6004,6004,La Gabardelière,"",46.17445,-1.036271,0,A3165,2023-10-20 04:01:38.0
P6005,6005,Stade de Bourgneuf,"",46.170243,-1.020162,0,A7447,2023-10-20 04:01:38.0
P6007,6007,Chartrie,"",46.170598,-1.023101,0,A8034,2023-10-20 04:01:38.0
P6008,6008,Chartrie,"",46.170559,-1.023251,0,A8034,2023-10-20 04:01:38.0
P6009,6009,Calvaire,"",46.170145,-1.016409,0,A412,2023-10-20 04:01:38.0
P6200,6200,Les Gacheteries,"",46.162027,-1.021582,0,A413,2023-10-20 04:01:38.0
P6201,6201,Les Gacheteries,"",46.162053,-1.021793,0,A413,2023-10-20 04:01:38.0
P6202,6202,Les Ormeaux,"",46.152203,-1.007515,0,A1841,2023-10-20 04:01:38.0
P6203,6203,Les Ormeaux,"",46.15219,-1.007422,0,A1841,2023-10-20 04:01:38.0
P6204,6204,Mairie de Montroy,"",46.156426,-1.013455,0,A1842,2023-10-20 04:01:38.0
P6205,6205,Mairie de Montroy,"",46.155832,-1.012974,0,A1842,2023-10-20 04:01:38.0
P6208,6208,Treuil Arnaudeau,"",46.171083,-1.004082,0,A2909,2023-10-20 04:01:38.0
P6209,6209,Treuil Arnaudeau,"",46.171047,-1.004202,0,A2909,2023-10-20 04:01:38.0
P6211,6211,Sud Commanderie,"",46.164624,-1.027391,0,A1844,2023-10-20 04:01:38.0
P6212,6212,Sud Commanderie,"",46.164562,-1.027397,0,A1844,2023-10-20 04:01:38.0
P6400,6400,La Couronne de Cugné,"",46.143473,-0.970739,0,A2904,2023-10-20 04:01:38.0
P6401,6401,La Couronne de Cugné,"",46.143404,-0.970898,0,A2904,2023-10-20 04:01:38.0
P6402,6402,La Martinière,"",46.15333,-0.932647,0,A2899,2023-10-20 04:01:38.0
P6403,6403,La Martinière,"",46.153467,-0.932723,0,A2899,2023-10-20 04:01:38.0
P6404,6404,La Navisselière,"",46.147355,-0.952133,0,A2906,2023-10-20 04:01:38.0
P6405,6405,La Navisselière,"",46.147323,-0.952072,0,A2906,2023-10-20 04:01:38.0
P6406,6406,L'Aubertière,"",46.156305,-0.987268,0,A2901,2023-10-20 04:01:38.0
P6407,6407,L'Aubertière,"",46.156361,-0.987731,0,A2901,2023-10-20 04:01:38.0
P6408,6408,Le Moulin Neuf,"",46.158278,-0.950043,0,A2907,2023-10-20 04:01:38.0
P6409,6409,Le Moulin Neuf,"",46.158729,-0.950147,0,A2907,2023-10-20 04:01:38.0
P6410,6410,Le Pontreau,"",46.177871,-0.956471,0,A2908,2023-10-20 04:01:38.0
P6411,6411,Le Verger,"",46.158427,-0.971062,0,A7283,2023-10-20 04:01:38.0
P6412,6412,Le Verger,"",46.158343,-0.970769,0,A7283,2023-10-20 04:01:38.0
P6413,6413,Les Touches,"",46.16661,-0.947601,0,A2910,2023-10-20 04:01:38.0
P6414,6414,Les Touches,"",46.1668,-0.947812,0,A2910,2023-10-20 04:01:38.0
P6415,6415,Val Pastour,"",46.158752,-0.976526,0,A6566,2023-10-20 04:01:38.0
P6416,6416,Val Pastour,"",46.158669,-0.976534,0,A6566,2023-10-20 04:01:38.0
P6600,6600,Belle d'Oie,"",46.140938,-0.956286,0,A2475,2023-10-20 04:01:38.0
P6601,6601,Belle d'Oie,"",46.141341,-0.955701,0,A2475,2023-10-20 04:01:38.0
P6602,6602,Cugné,"",46.142085,-0.966955,0,A2474,2023-10-20 04:01:38.0
P6603,6603,Cugné,"",46.142138,-0.967018,0,A2474,2023-10-20 04:01:38.0
P6604,6604,Eglise de Saint Christophe,"",46.145506,-0.947407,0,A4690,2023-10-20 04:01:38.0
P6605,6605,Eglise de Saint Christophe,"",46.145435,-0.947508,0,A4690,2023-10-20 04:01:38.0
P6606,6606,La Mazurie,"",46.147765,-0.941759,0,A2476,2023-10-20 04:01:38.0
P6607,6607,La Panonnière,"",46.131886,-0.923322,0,A5229,2023-10-20 04:01:38.0
P6608,6608,La Panonnière,"",46.132534,-0.923539,0,A5229,2023-10-20 04:01:38.0
P6609,6609,Stade de Saint Christophe,"",46.141572,-0.943573,0,A8007,2023-10-20 04:01:38.0
P6610,6610,Stade de Saint Christophe,"",46.141586,-0.943712,0,A8007,2023-10-20 04:01:38.0
P7000,7000,Croix Fort,"",46.136402,-1.014549,0,A5830,2023-10-20 04:01:38.0
P7001,7001,Croix Fort,"",46.136464,-1.015218,0,A5830,2023-10-20 04:01:38.0
P7002,7002,Les Massardes,"",46.140396,-1.033142,0,A840,2023-10-20 04:01:38.0
P7003,7003,Les Massardes,"",46.140511,-1.033755,0,A840,2023-10-20 04:01:38.0
P7004,7004,Mairie de Clavette,"",46.138964,-1.027072,0,A5954,2023-10-20 04:01:38.0
P7005,7005,Mairie de Clavette,"",46.139001,-1.027472,0,A5954,2023-10-20 04:01:38.0
P7200,7200,Chassagné,"",46.131884,-1.044205,0,A1443,2023-10-20 04:01:38.0
P7201,7201,Chassagné,"",46.131843,-1.044179,0,A1443,2023-10-20 04:01:38.0
P7202,7202,Collège Françoise Dolto,"",46.1314,-1.00603,0,A1447,2023-10-20 04:01:38.0
P7203,7203,Fief Chapitre,"",46.134964,-1.010083,0,A5831,2023-10-20 04:01:38.0
P7204,7204,Fief Chapitre,"",46.13492,-1.010055,0,A5831,2023-10-20 04:01:38.0
